ilkid,year,firstname,lastname,team,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
FoyeRa01  ,2009,Randy,Foye,WAS,N,70,1667,704,16,114,130,228,33,10,94,123,619,256,145,129,182,63
FryeCh01  ,2009,Channing,Frye,PHO,N,81,2190,904,66,361,427,113,64,74,73,263,703,317,121,98,392,172
GadzuDa01 ,2009,Dan,Gadzuric,MIL,N,32,314,88,38,54,92,12,9,13,15,63,89,39,25,10,0,0
GaineSu01 ,2009,Sundiata,Gaines,UTA,N,32,217,106,6,23,29,39,12,0,14,17,82,38,46,23,26,7
GalliDa01 ,2009,Danilo,Gallinari,NYK,N,81,2747,1221,65,333,398,135,75,58,110,191,927,392,307,251,488,186
GarciFr01 ,2009,Francisco,Garcia,SAC,N,25,575,202,11,55,66,45,10,19,21,49,176,82,17,15,59,23
GarneKe01 ,2009,Kevin,Garnett,BOS,N,69,2060,990,78,428,506,185,68,57,101,170,772,402,221,185,5,1
GasolMa01 ,2009,Marc,Gasol,MEM,N,69,2469,1008,208,432,640,165,69,109,135,254,651,378,376,252,1,0
HayesCh01 ,2009,Chuck,Hayes,HOU,N,82,1773,358,151,314,465,139,73,43,74,219,329,161,66,36,0,0
HayesJa01 ,2009,Jarvis,Hayes,NJN,N,45,1032,350,9,99,108,40,29,9,28,91,328,138,18,14,179,60
HaywoBr01 ,2009,Brendan,Haywood,DAL,N,28,741,226,78,130,208,25,8,57,32,64,156,88,87,50,1,0
HaywoBr01 ,2009,Brendan,Haywood,TOT,N,77,2355,704,278,437,715,43,26,158,99,209,491,276,245,152,1,0
HaywoBr01 ,2009,Brendan,Haywood,WAS,N,49,1614,478,200,307,507,18,18,101,67,145,335,188,158,102,0,0
HeadLu01  ,2009,Luther,Head,IND,N,47,813,357,6,74,80,72,18,9,54,53,311,136,58,48,105,37
HendeGe02 ,2009,Gerald,Henderson,CHR,N,43,355,113,15,40,55,13,10,9,14,25,104,37,47,35,19,4
HibbeRo01 ,2009,Roy,Hibbert,IND,N,81,2035,946,177,287,464,158,30,131,145,285,782,387,224,169,6,3
HicksJJ01 ,2009,J.J.,Hickson,CLE,N,81,1691,689,110,290,400,40,36,39,92,132,522,289,163,111,1,0
HilarNe01 ,2009,Nene,Hilario,DEN,N,82,2755,1135,166,461,627,203,115,82,125,281,717,421,416,293,2,0
HillGe01  ,2009,George,Hill,SAS,N,78,2276,964,42,163,205,226,69,26,101,222,738,353,237,183,188,75
HillGr01  ,2009,Grant,Hill,PHO,N,81,2430,912,74,371,445,193,60,36,108,165,703,336,251,205,80,35
HillJo01  ,2009,Jordan,Hill,NYK,N,24,252,97,32,29,61,7,10,9,12,37,92,41,21,15,2,0
HillJo01  ,2009,Jordan,Hill,HOU,N,23,372,147,44,70,114,13,4,12,18,55,109,58,47,31,0,0
HillJo01  ,2009,Jordan,Hill,TOT,N,47,624,244,76,99,175,20,14,21,30,92,201,99,68,46,2,0
HinriKi01 ,2009,Kirk,Hinrich,CHI,N,74,2481,805,24,236,260,330,85,24,113,204,753,308,113,85,280,104
HolidJr01 ,2009,Jrue,Holiday,PHI,N,73,1767,587,56,135,191,280,79,18,156,153,520,230,86,65,159,62
HolliRy01 ,2009,Ryan,Hollins,MIN,N,73,1223,447,79,128,207,51,19,38,95,199,303,169,158,109,1,0
HorfoAl01 ,2009,Al,Horford,ATL,N,81,2845,1148,236,563,799,189,59,91,122,225,847,467,270,213,1,1
JacksSt02 ,2009,Stephen,Jackson,GSW,N,9,300,149,6,29,35,42,14,6,26,16,133,56,37,26,40,11
JacksSt02 ,2009,Stephen,Jackson,CHR,N,72,2829,1518,72,294,366,258,118,37,233,181,1285,544,397,312,353,118
JamesLe01 ,2009,LeBron,James,CLE,N,76,2966,2258,71,483,554,651,125,77,261,119,1528,768,773,593,387,129
JamesMi01 ,2009,Mike,James,WAS,N,4,46,18,1,2,3,5,3,0,5,3,20,6,8,4,6,2
JamisAn01 ,2009,Antawn,Jamison,WAS,N,41,1595,840,99,263,362,52,43,9,61,112,700,315,217,152,168,58
JamisAn01 ,2009,Antawn,Jamison,CLE,N,25,811,395,37,156,193,32,28,12,30,67,336,163,83,42,79,27
JamisAn01 ,2009,Antawn,Jamison,TOT,N,66,2406,1235,136,419,555,84,71,21,91,179,1036,478,300,194,247,85
JawaiNa01 ,2009,Nathan,Jawai,MIN,N,39,412,124,49,55,104,24,10,9,27,58,111,49,38,26,1,0
JeffeAl01 ,2009,Al,Jefferson,MIN,N,76,2463,1301,180,523,703,137,63,98,136,205,1125,560,266,181,4,0
JeffeOt01 ,2009,Othyus,Jeffers,UTA,N,14,72,37,8,11,19,1,4,0,6,10,29,12,19,13,0,0
JeffeRi01 ,2009,Richard,Jefferson,SAS,N,81,2520,994,58,298,356,158,45,40,105,178,775,362,287,211,187,59
JeffrJa01 ,2009,Jared,Jeffries,NYK,N,52,1462,284,99,124,223,83,53,58,62,157,230,102,93,60,62,20
JeffrJa01 ,2009,Jared,Jeffries,HOU,N,18,332,88,31,34,65,18,9,13,14,46,84,36,27,15,9,1
JeffrJa01 ,2009,Jared,Jeffries,TOT,N,70,1794,372,130,158,288,101,62,71,76,203,314,138,120,75,71,21
JenniBr01 ,2009,Brandon,Jennings,MIL,N,82,2671,1270,49,233,282,470,105,18,200,191,1216,451,273,223,388,145
JerebJo01 ,2009,Jonas,Jerebko,DET,N,80,2232,741,194,284,478,58,79,29,82,230,603,290,176,125,115,36
JianlYi01 ,2009,Yi,Jianlian,NJN,N,52,1655,623,115,257,372,47,37,52,77,170,563,227,193,154,41,15
JohnsAm01 ,2009,Amir,Johnson,TOR,N,82,1453,511,154,241,395,48,44,66,63,255,334,208,149,95,4,0
JohnsAn02 ,2009,Anthony,Johnson,ORL,N,31,406,130,8,40,48,63,11,1,26,32,111,49,20,19,39,13
JohnsJa01 ,2009,James,Johnson,CHI,N,65,757,256,34,94,128,48,21,43,62,126,210,95,70,51,46,15
JohnsJo02 ,2009,Joe,Johnson,ATL,N,76,2886,1619,74,279,353,369,82,5,145,145,1386,635,269,220,350,129
JonesDa02 ,2009,Dahntay,Jones,IND,N,76,1892,776,48,181,229,150,40,39,129,237,623,287,257,198,32,4
JonesDw02 ,2009,Dwayne,Jones,PHO,N,2,7,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0
JonesJa02 ,2009,James,Jones,MIA,N,36,503,146,4,41,45,17,11,4,11,45,119,43,28,23,90,37
JonesSo01 ,2009,Solomon,Jones,IND,N,52,675,207,51,93,144,32,14,37,40,125,176,78,71,51,3,0
LowryKy01 ,2009,Kyle,Lowry,HOU,N,68,1651,620,91,156,247,305,60,9,116,173,464,184,260,215,136,37
MaggeCo01 ,2009,Corey,Maggette,GSW,N,70,2081,1387,92,281,373,172,52,4,168,231,886,457,551,460,50,13
MagloJa01 ,2009,Jamaal,Magloire,MIA,N,36,359,77,41,80,121,1,9,11,17,59,56,28,59,21,0,0
MahinIa01 ,2009,Ian,Mahinmi,SAS,N,26,165,101,13,39,52,2,3,8,15,32,55,35,47,31,0,0
MarioSh01 ,2009,Shawn,Marion,DAL,N,75,2385,898,158,319,477,107,69,61,99,141,778,395,139,105,19,3
MarksSe01 ,2009,Sean,Marks,NOH,N,14,75,10,14,9,23,2,0,3,2,17,8,4,5,2,0,0
MartiCa01 ,2009,Cartier,Martin,GSW,N,10,276,90,17,30,47,9,8,0,13,36,88,32,21,16,31,10
MartiCa01 ,2009,Cartier,Martin,TOT,N,18,390,141,25,43,68,16,11,1,19,48,136,50,30,24,49,17
MartiCa01 ,2009,Cartier,Martin,WAS,N,8,114,51,8,13,21,7,3,1,6,12,48,18,9,8,18,7
MartiKe01 ,2009,Kenyon,Martin,DEN,N,58,1986,667,142,404,546,109,72,61,91,186,620,283,167,93,29,8
MartiKe02 ,2009,Kevin,Martin,HOU,N,24,859,510,9,61,70,54,23,2,57,45,354,154,185,171,100,31
MartiKe02 ,2009,Kevin,Martin,SAC,N,22,774,436,20,74,94,57,23,4,35,51,339,135,155,127,110,39
MartiKe02 ,2009,Kevin,Martin,TOT,N,46,1633,946,29,135,164,111,46,6,92,96,693,289,340,298,210,70
MasonDe01 ,2009,Desmond,Mason,SAC,N,5,66,13,4,9,13,2,1,1,4,5,12,5,4,3,0,0
MasonRo01 ,2009,Roger,Mason,SAS,N,79,1515,501,11,151,162,137,30,14,59,99,496,193,34,27,264,88
