ilkid,year,firstname,lastname,team,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
KAPONJA01 ,2007,Jason,Kapono,TOR,N,81,1533,580,30,89,119,65,34,2,58,132,497,243,43,37,118,57
KarlCo01  ,2007,Coby,Karl,LAL,N,17,69,30,3,11,14,9,4,2,5,4,26,9,10,8,13,4
KHRYAVI01 ,2007,Viktor,Khryapa,CHI,N,9,105,32,6,14,20,8,6,0,6,11,31,12,14,8,1,0
KIDDJA01  ,2007,Jason,Kidd,NJN,N,51,1899,577,59,355,414,530,74,15,184,90,549,201,111,91,236,84
KIDDJA01  ,2007,Jason,Kidd,DAL,N,29,1012,287,36,152,188,276,62,11,81,75,244,104,54,44,76,35
KIDDJA01  ,2007,Jason,Kidd,TOT,N,80,2911,864,95,507,602,806,136,26,265,165,793,305,165,135,312,119
KinseTa01 ,2007,Tarence,Kinsey,MEM,N,11,95,40,3,9,12,2,3,0,3,11,38,16,6,5,7,3
KIRILAN01 ,2007,Andrei,Kirilenko,UTA,N,72,2215,792,121,219,340,285,86,111,140,165,544,275,257,198,116,44
KLEIZLI01 ,2007,Linas,Kleiza,DEN,N,79,1891,878,91,239,330,95,42,19,87,179,659,311,211,162,277,94
KNIGHBR01 ,2007,Brevin,Knight,LAC,N,74,1673,338,15,127,142,328,100,11,71,161,342,138,71,62,6,0
KORVEKY01 ,2007,Kyle,Korver,UTA,N,50,1075,491,9,90,99,68,22,23,47,125,348,165,96,88,188,73
KORVEKY01 ,2007,Kyle,Korver,PHI,N,25,659,249,12,61,73,33,20,6,28,67,227,90,34,31,108,38
KORVEKY01 ,2007,Kyle,Korver,TOT,N,75,1734,740,21,151,172,101,42,29,75,192,575,255,130,119,296,111
KRSTINE01 ,2007,Nenad,Krstic,NJN,N,45,812,298,35,166,201,27,9,17,41,111,300,123,69,52,2,0
