ilkid,year,firstname,lastname,team,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
ELLISPE01 ,1999,Pervis,Ellison,BOS,N,30,269,53,29,38,67,13,10,8,13,67,43,19,21,15,0,0
ESCHMEV01 ,1999,Evan,Eschmeyer,NJN,N,31,373,91,40,68,108,21,8,21,21,84,72,38,30,15,0,0
EWINGPA01 ,1999,Patrick,Ewing,NYK,N,62,2035,929,140,464,604,58,36,84,142,196,775,361,283,207,2,0
FARMETO01 ,1999,Tony,Farmer,GSW,N,74,1199,465,118,177,295,74,66,16,82,167,312,127,265,203,44,8
FEICKJA01 ,1999,Jamie,Feick,NJN,N,81,2241,459,264,491,755,68,43,38,59,206,423,181,133,94,3,3
FERRYDA01 ,1999,Danny,Ferry,CLE,N,63,1326,463,55,183,238,67,22,24,55,181,380,189,57,52,75,33
FINLEMI01 ,1999,Michael,Finley,DAL,N,82,3464,1855,122,396,518,438,109,32,196,171,1636,748,317,260,247,99
FISHEDE01 ,1999,Derek,Fisher,LAL,N,78,1803,491,22,121,143,216,80,3,75,150,483,167,145,105,166,52
FORTSDA01 ,1999,Danny,Fortson,BOS,N,55,856,419,141,225,366,29,20,5,67,180,265,140,189,139,0,0
FOSTEGR01 ,1999,Greg,Foster,SEA,N,60,718,203,16,91,107,41,10,18,28,105,224,91,28,18,15,3
FOSTEJE01 ,1999,Jeff,Foster,IND,N,19,86,43,12,20,32,5,5,1,2,18,23,13,25,17,1,0
FOXRI01   ,1999,Rick,Fox,LAL,N,82,1473,534,63,135,198,138,52,26,87,203,498,206,78,63,181,59
FOYLEAD01 ,1999,Adonal,Foyle,GSW,N,76,1654,420,174,250,424,42,26,136,71,218,380,193,90,34,0,0
FRANCST01 ,1999,Steve,Francis,HOU,N,77,2776,1388,152,257,409,507,118,29,306,231,1117,497,365,287,310,107
FULLETO02 ,1999,Todd,Fuller,CHA,N,41,399,134,36,74,110,5,9,8,27,46,122,51,53,32,0,0
FUNDELA01 ,1999,Lawrence,Funderburke,SAC,N,75,1026,483,98,136,234,33,32,20,40,91,352,184,163,115,2,0
GARNEKE01 ,1999,Kevin,Garnett,MIN,N,81,3243,1857,223,733,956,401,120,126,268,205,1526,759,404,309,81,30
GARREDE01 ,1999,Dean,Garrett,MIN,N,56,604,114,41,99,140,19,8,40,21,94,108,48,26,18,0,0
GARRIKI01 ,1999,Kiwane,Garris,ORL,N,3,23,4,0,1,1,2,0,0,1,0,10,2,0,0,1,0
GARRIPA01 ,1999,Pat,Garrity,ORL,N,82,1479,675,44,166,210,58,31,19,85,197,585,258,111,80,197,79
GATLICH01 ,1999,Chris,Gatling,ORL,N,45,1041,598,91,206,297,40,48,10,105,142,462,210,245,171,23,7
GATLICH01 ,1999,Chris,Gatling,TOT,N,85,1811,1014,154,348,502,71,82,23,169,246,802,365,373,266,70,18
